Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Petrol,1400-2000 cc,Euro 3,0.629562958,0,0.0305,0.026609699,0.03733068,0.043488818,0.04395209,0.027318928,0.034107409,0.024515647,0.032987329,0.032987329,0.025716081,0.030661893,0.041098032,0.023413144,0.02826575,0.03787576,0.024515647,0.024515647,0.02989114,0.028234956,0.020785942,0.025349274,0.019956488,0.0225675,0.032404418,0.024515647,0.024515647,0.024515647,0.039821704,0.03791324,0.048612121,0.039017957,0.043343077,0.042896278,0.032987329,0.032987329,0.032987329
Petrol,1400-2000 cc,Euro 4,0.629562958,0.0003,0.1194,0.006385471,0.007613751,0.011480246,0.008065258,0.007193964,0.007842905,0.010944339,0.011003818,0.011003818,0.006325752,0.007151191,0.008593515,0.006088124,0.006986905,0.010161001,0.010944339,0.010944339,0.008900516,0.007514785,0.00651328,0.007396056,0.007360256,0.006487326,0.007969114,0.010944339,0.010944339,0.010944339,0.012248786,0.01832916,0.022707641,0.009175275,0.014220073,0.0184574,0.011003818,0.011003818,0.011003818
Petrol,1400-2000 cc,Euro 5,0.629562958,0.0021,0.1499,0.009259625,0.010827709,0.014081406,0.013295363,0.008962499,0.01097672,0.011228119,0.010404307,0.010404307,0.009250737,0.010209986,0.012446603,0.009161034,0.010195303,0.011984837,0.011228119,0.011228119,0.011008482,0.010513329,0.008260966,0.008916698,0.009077293,0.008612504,0.010971128,0.011228119,0.011228119,0.011228119,0.015006428,0.018782608,0.025096275,0.012580033,0.015982259,0.020522164,0.010404307,0.010404307,0.010404307
Petrol,1400-2000 cc,Euro 6,0.629562958,0.1104,0.2328,0.009256595,0.010825396,0.014079969,0.013289922,0.008959728,0.010974432,0.011210944,0.010388713,0.010388713,0.0092433,0.010203661,0.012442047,0.009151708,0.010186568,0.011976844,0.011210944,0.011210944,0.010991643,0.010500929,0.008252521,0.008909656,0.009065638,0.00860218,0.010959205,0.011210944,0.011210944,0.011210944,0.015005678,0.018782608,0.025096275,0.012578171,0.015981453,0.020522164,0.010388713,0.010388713,0.010388713
Petrol,>2000 cc,Euro 0,0.629562958,0,0.0013,1.219015646,1.162283468,0.989157426,1.296895695,1.176445961,1.101542044,4.779303169,3.327016735,3.327016735,1.672047496,1.445943403,1.292095327,1.992776704,1.686586118,1.571848106,4.779303169,4.779303169,3.783343315,2.223360348,1.969186759,1.685737276,2.487368107,2.268046761,2.054859996,4.779303169,4.779303169,4.779303169,0.908778763,0.833752632,1.042251229,1.033566499,0.957336986,0.911607444,3.327016735,3.327016735,3.327016735
Petrol,>2000 cc,Euro 1,0.629562958,0,0.0005,0.132428452,0.228014752,0.2003708,0.254089731,0.137141693,0.169022164,0.30831396,0.339978695,0.339978695,0.215389127,0.205977872,0.208017108,0.216847166,0.217045432,0.224184418,0.30831396,0.30831396,0.313199353,0.291284776,0.188042229,0.205057079,0.209371296,0.193676296,0.281519091,0.30831396,0.30831396,0.30831396,0.158282399,0.087972641,0.136108443,0.178235781,0.171637583,0.114243522,0.339978695,0.339978695,0.339978695
Petrol,>2000 cc,Euro 2,0.629562958,0,0.0011,0.053687821,0.082571194,0.082377551,0.092061786,0.053168308,0.065997927,0.099137793,0.110563165,0.110563165,0.064490074,0.068930578,0.081674306,0.06176573,0.068596476,0.082285179,0.099137793,0.099137793,0.099526313,0.084744459,0.05602931,0.061795228,0.064348093,0.063527744,0.086221035,0.099137793,0.099137793,0.099137793,0.0789728,0.048355643,0.042758878,0.075596128,0.079386321,0.05640728,0.110563165,0.110563165,0.110563165
Petrol,>2000 cc,Euro 3,0.629562958,0,0.0031,0.026609699,0.03733068,0.043488818,0.04395209,0.027318928,0.034107409,0.024515647,0.032987329,0.032987329,0.025716081,0.030661893,0.041098032,0.023413144,0.02826575,0.03787576,0.024515647,0.024515647,0.02989114,0.028234956,0.020785942,0.025349274,0.019956488,0.0225675,0.032404418,0.024515647,0.024515647,0.024515647,0.039821704,0.03791324,0.048612121,0.039017957,0.043343077,0.042896278,0.032987329,0.032987329,0.032987329
Petrol,>2000 cc,Euro 4,0.629562958,0,0.0157,0.006385471,0.007613751,0.011480246,0.008065258,0.007193964,0.007842905,0.010944339,0.011003818,0.011003818,0.006325752,0.007151191,0.008593515,0.006088124,0.006986905,0.010161001,0.010944339,0.010944339,0.008900516,0.007514785,0.00651328,0.007396056,0.007360256,0.006487326,0.007969114,0.010944339,0.010944339,0.010944339,0.012248786,0.01832916,0.022707641,0.009175275,0.014220073,0.0184574,0.011003818,0.011003818,0.011003818
Petrol,>2000 cc,Euro 5,0.629562958,0,0.0145,0.009259625,0.010827709,0.014081406,0.013295363,0.008962499,0.01097672,0.011228119,0.010404307,0.010404307,0.009250737,0.010209986,0.012446603,0.009161034,0.010195303,0.011984837,0.011228119,0.011228119,0.011008482,0.010513329,0.008260966,0.008916698,0.009077293,0.008612504,0.010971128,0.011228119,0.011228119,0.011228119,0.015006428,0.018782608,0.025096275,0.012580033,0.015982259,0.020522164,0.010404307,0.010404307,0.010404307
